n,d,dimenzija
3,1,1
3,2,2
4,1,1
4,2,2
4,3,3
5,1,1
5,2,2
5,3,2
5,4,4
6,1,1
6,2,2
6,3,3
6,4,3
6,5,5
7,1,1
7,2,2
7,3,3
7,4,3
7,5,3
7,6,6
8,1,1
8,2,2
8,3,3
8,4,4
8,5,4
8,6,4
8,7,7
9,1,1
9,2,2
9,3,3
9,4,3
9,5,4
9,6,4
9,7,4
9,8,8
10,1,1
10,2,2
10,3,3
10,4,3
10,5,5
10,6,4
10,7,5
10,8,5
10,9,9
11,1,1
11,2,2
11,3,3
11,4,4
11,5,4
11,6,5
11,7,5
11,8,5
11,9,5
11,10,10
12,1,1
12,2,2
12,3,3
12,4,4
12,5,3
12,6,6
12,7,4
12,8,5
12,9,6
12,10,6
12,11,11
13,1,1
13,2,2
13,3,3
13,4,4
13,5,5
13,6,5
13,7,6
13,8,6
13,9,6
13,10,6
13,11,6
13,12,12
14,1,1
14,2,2
14,3,3
14,4,4
14,5,5
14,6,4
14,7,7
14,8,6
14,9,6
14,10,6
14,11,7
14,12,7
14,13,13
15,1,1
15,2,2
15,3,3
15,4,4
15,5,5
15,6,5
15,7,5
15,8,6
15,9,6
15,10,5
15,11,6
15,12,7
15,13,7
15,14,14
16,1,1
16,2,2
16,3,3
16,4,4
16,5,4
16,6,5
16,7,5
16,8,8
16,9,6
16,10,7
16,11,7
16,12,7
16,13,8
16,14,8
16,15,15
17,1,1
17,2,2
17,3,3
17,4,4
17,5,4
17,6,6
17,7,6
17,8,6
17,9,7
17,10,7
17,11,7
17,12,7
17,13,7
17,14,8
17,15,8
17,16,16
18,1,1
18,2,2
18,3,3
18,4,4
18,5,5
18,6,6
18,7,6
18,8,5
18,9,9
18,10,6
18,11,7
18,12,7
18,13,6
18,14,8
18,15,9
18,16,9
18,17,17
19,1,1
19,2,2
19,3,3
19,4,4
19,5,5
19,6,5
19,7,6
19,8,6
19,9,7
19,10,8
19,11,8
19,12,8
19,13,8
19,14,8
19,15,8
19,16,9
19,17,9
19,18,18
20,1,1
20,2,2
20,3,3
20,4,4
20,5,5
20,6,4
20,7,7
20,8,7
20,9,5
20,10,10
20,11,8
20,12,8
20,13,8
20,14,8
20,15,8
20,16,8
20,17,10
20,18,10
20,19,19
21,1,1
21,2,2
21,3,3
21,4,4
21,5,5
21,6,6
21,7,7
21,8,6
21,9,6
21,10,7
21,11,9
21,12,9
21,13,7
21,14,8
21,15,9
21,16,7
21,17,9
21,18,10
21,19,10
21,20,20
22,1,1
22,2,2
22,3,3
22,4,4
22,5,5
22,6,6
22,7,6
22,8,7
22,9,7
22,10,6
22,11,11
22,12,8
22,13,9
22,14,9
22,15,9
22,16,8
22,17,9
22,18,9
22,19,11
22,20,11
22,21,21
23,1,1
23,2,2
23,3,3
23,4,4
23,5,5
23,6,6
23,7,5
23,8,8
23,9,8
23,10,7
23,11,8
23,12,10
23,13,9
23,14,10
23,15,10
23,16,9
23,17,10
23,18,9
23,19,10
23,20,11
23,21,11
23,22,22
24,1,1
24,2,2
24,3,3
24,4,4
24,5,5
24,6,6
24,7,6
24,8,8
24,9,6
24,10,8
24,11,7
24,12,12
24,13,8
24,14,9
24,15,9
24,16,8
24,17,9
24,18,10
24,19,8
24,20,10
24,21,12
24,22,12
24,23,23
25,1,1
25,2,2
25,3,3
25,4,4
25,5,5
25,6,5
25,7,7
25,8,7
25,9,8
25,10,8
25,11,8
25,12,9
25,13,10
25,14,10
25,15,10
25,16,10
25,17,10
25,18,10
25,19,10
25,20,10
25,21,10
25,22,12
25,23,12
25,24,24
26,1,1
26,2,2
26,3,3
26,4,4
26,5,5
26,6,5
26,7,7
26,8,6
26,9,9
26,10,8
26,11,8
26,12,7
26,13,13
26,14,10
26,15,11
26,16,11
26,17,11
26,18,11
